,Year,Country,ladder_score,gdp_per_capita,generosity,social_support,corruption,Rank,Platform,Sentiment,Hashtags
351,2016,USA,7.104,1.50796,0.41077,1.04782,0.14868,13.0,Facebook,Darkness, #Darkness #SoulEngulfed                 
353,2016,USA,7.104,1.50796,0.41077,1.04782,0.14868,13.0,Twitter,Despair, #Despair #DeepDescent 
355,2016,USA,7.104,1.50796,0.41077,1.04782,0.14868,13.0,Facebook,Pressure, #Pressure #GolfDefeat 
368,2017,France,6.44199991226196,1.43092346191406,0.129762306809425,1.38777685165405,0.172502428293228,31.0,Twitter,Heartbreak, #Heartbreak #RippleOfDespair 
393,2019,Germany,6.985,1.373,0.261,1.454,0.265,17.0,Instagram,Bitterness, #Bitterness #StainedTrust 
403,2019,UK,7.054,1.333,0.348,1.538,0.278,15.0,Facebook,Loneliness, #Loneliness #Isolation                         
404,2019,UK,7.054,1.333,0.348,1.538,0.278,15.0,Instagram,Anxiety, #Anxiety #Worry                               
405,2019,UK,7.054,1.333,0.348,1.538,0.278,15.0,Twitter,Loneliness, #Loneliness #SeekingConnection              
406,2019,UK,7.054,1.333,0.348,1.538,0.278,15.0,Twitter,Numbness, #Numbness #StoicResilience               
407,2019,UK,7.054,1.333,0.348,1.538,0.278,15.0,Facebook,Melancholy, #Melancholy #WistfulYearning             
409,2019,UK,7.054,1.333,0.348,1.538,0.278,15.0,Facebook,Ambivalence, #Ambivalence #AutumnWaltz 
410,2019,UK,7.054,1.333,0.348,1.538,0.278,15.0,Facebook,Bitterness, #Bitterness #ResentmentWeb 
411,2019,UK,7.054,1.333,0.348,1.538,0.278,15.0,Twitter,Bitterness, #Bitterness #IciclesOfResentment 
509,2018,Australia,7.272,1.34,0.361,1.573,0.302,10.0,Instagram,Resentment, #Resentment #Bitterness                       
635,2020,India,3.573299885,8.849823952,0.057551607,0.592200935,0.772042692,144.0,Facebook,Despair, #Despair #DarkDays                          
637,2020,India,3.573299885,8.849823952,0.057551607,0.592200935,0.772042692,144.0,Facebook,Melancholy, #Melancholy #WhispersInTheBreeze         
639,2020,India,3.573299885,8.849823952,0.057551607,0.592200935,0.772042692,144.0,Instagram,Bitterness, #Bitterness #BitterAftertaste 
784,2023,UK,6.796,10.704,0.253,0.882,0.454,19.0,Facebook,Bad, #BadDay #HighSchoolBlues 
785,2023,UK,6.796,10.704,0.253,0.882,0.454,19.0,Facebook,Bad, #AcademicFrustration #HighSchoolStress 
786,2023,UK,6.796,10.704,0.253,0.882,0.454,19.0,Facebook,Hate, #StopCyberbullying #HighSchoolReality 
787,2023,UK,6.796,10.704,0.253,0.882,0.454,19.0,Facebook,Hate, #RumorMills #HighSchoolDrama 
788,2023,UK,6.796,10.704,0.253,0.882,0.454,19.0,Facebook,Sad, #CollegeDreams #HighSchoolJourney 
789,2023,UK,6.796,10.704,0.253,0.882,0.454,19.0,Facebook,Sad, #ProjectStruggles #HighSchoolHardships 
790,2023,UK,6.796,10.704,0.253,0.882,0.454,19.0,Facebook,Sad, #MissedMoments #HighSchoolRegret 
805,2017,USA,6.99300003051758,1.54625928401947,0.392578780651093,1.41992056369781,0.135638788342476,14.0,Twitter,Loneliness, #Loneliness #MiragesOfConnection 
806,2017,USA,6.99300003051758,1.54625928401947,0.392578780651093,1.41992056369781,0.135638788342476,14.0,Instagram,Loneliness, #Loneliness #StarlessSky 
965,2021,Canada,7.103,10.776,0.089,0.926,0.415,14.0,Instagram,Numbness, #Numbness #EmotionalStorms               
966,2021,Canada,7.103,10.776,0.089,0.926,0.415,14.0,Instagram,Numbness, #Numbness #EmotionalStorms 
973,2021,Canada,7.103,10.776,0.089,0.926,0.415,14.0,Instagram,Despair, #Despair #EchoingSilence 
978,2021,Canada,7.103,10.776,0.089,0.926,0.415,14.0,Twitter,Loneliness, #Loneliness #HeavyHeart                  
979,2021,Canada,7.103,10.776,0.089,0.926,0.415,14.0,Instagram,Exhaustion, #Exhaustion #CrushedSpirit             
980,2021,Canada,7.103,10.776,0.089,0.926,0.415,14.0,Instagram,Betrayal, #Betrayal #PoisonedTrust 
1000,2019,Spain,6.354,1.286,0.153,1.484,0.079,30.0,Twitter,Disappointment, #Disappointment #CrushedHopes          
1015,2023,India,4.036,8.759,0.072,0.608,0.774,126.0,Facebook,Sadness, #Sadness #NaturalDisaster                    
1016,2023,India,4.036,8.759,0.072,0.608,0.774,126.0,Twitter,Disappointed, #Disappointed #BadService                   
1019,2023,India,4.036,8.759,0.072,0.608,0.774,126.0,Facebook,Sadness, #Sadness #Farewell                          
1020,2023,India,4.036,8.759,0.072,0.608,0.774,126.0,Twitter,Disappointed, #Disappointed #Project                     
1096,2016,Australia,7.313,1.44443,0.47407,1.10476,0.32331,9.0,Instagram,Despair, #Despair #EndlessDarkness               
1119,2019,Canada,7.278,1.365,0.285,1.505,0.308,9.0,Twitter,Melancholy, #Melancholy #WistfulHeart                
1127,2021,Germany,7.155,10.873,0.011,0.903,0.46,13.0,Instagram,Betrayal, #Betrayal #ClosingWalls 
1148,2016,UK,6.725,1.40283,0.50156,1.08672,0.27399,23.0,Twitter,Loneliness, #Loneliness #CrashingWaves 
1250,2016,Italy,5.977,1.35495,0.16684,1.04167,0.02556,50.0,Facebook,Betrayal, #Betrayal #ReverberatingPromises 
1309,2023,France,6.661,10.701,-0.1,0.909,0.553,21.0,Instagram,Loss, #Loss #SilentSurrender 
1369,2023,Canada,6.961,10.773,0.153,0.929,0.42,13.0,Instagram,Hate, #OnlineHate #HighSchoolReality 
1370,2023,Canada,6.961,10.773,0.153,0.929,0.42,13.0,Instagram,Hate, #CafeteriaDrama #HighSchoolTension 
1371,2023,Canada,6.961,10.773,0.153,0.929,0.42,13.0,Instagram,Sad, #LonelyNights #HighSchoolEmotions 
1372,2023,Canada,6.961,10.773,0.153,0.929,0.42,13.0,Instagram,Sad, #MissedChances #HighSchoolRegret 
1373,2023,Canada,6.961,10.773,0.153,0.929,0.42,13.0,Instagram,Sad, #SayingGoodbye #HighSchoolEmotions 
1374,2023,Canada,6.961,10.773,0.153,0.929,0.42,13.0,Instagram,Bad, #BadHairDay #HighSchoolConfidence 
1375,2023,Canada,6.961,10.773,0.153,0.929,0.42,13.0,Instagram,Bad, #TechIssues #HighSchoolTech 
1402,2021,Brazil,6.33,9.577,-0.071,0.882,0.756,35.0,Facebook,Desolation, #Desolation #WhisperedLoss 
1477,2020,Australia,7.222799778,10.72059631,0.19046016,0.944854617,0.41516912,12.0,Twitter,Helplessness, #Helplessness #Overwhelmed                    
1489,2015,Australia,7.284,1.33358,0.43562,1.30923,0.35637,10.0,Facebook,Bitterness, #Bitterness #WoundedHeart              
1600,2017,India,4.31500005722046,0.792221248149872,0.231538489460945,0.754372596740723,0.0922268852591515,122.0,Twitter,Resentment, #Resentment #Unforgiving                    
1604,2017,India,4.31500005722046,0.792221248149872,0.231538489460945,0.754372596740723,0.0922268852591515,122.0,Facebook,Despair, #Despair #UnraveledHope 
1662,2018,Spain,6.31,1.251,0.142,1.538,0.074,36.0,Twitter,Despair, #Despair #OwnGoal 
1678,2018,UK,7.19,1.244,0.262,1.433,0.082,19.0,Facebook,Anxiety, #Anxiety #Restlessness                      
1681,2018,UK,7.19,1.244,0.262,1.433,0.082,19.0,Twitter,Jealous, #Jealous #BloomingAchievements 
1684,2018,UK,7.19,1.244,0.262,1.433,0.082,19.0,Twitter,Desolation, #Desolation #ShatteredHopes 
1718,2021,India,3.819,8.755,0.089,0.603,0.774,139.0,Facebook,Intimidation, #Intimidation #Fear                           
1719,2021,India,3.819,8.755,0.089,0.603,0.774,139.0,Twitter,Intimidation, #Intimidation #FacingFear                   
1720,2021,India,3.819,8.755,0.089,0.603,0.774,139.0,Twitter,Numbness, #Numbness #EmotionalShield                 
1746,2020,USA,6.939599991,10.92576885,0.149891734,0.914219022,0.699715316,18.0,Instagram,Melancholy, #Melancholy #BittersweetMemories         
1823,2020,France,6.663799763,10.58422279,-0.130641967,0.937103748,0.583521128,23.0,Facebook,Desolation, #Desolation #UntoldSorrows 
1843,2021,USA,6.951,11.023,0.098,0.92,0.698,19.0,Twitter,Despair, #Despair #Struggle                              
1844,2021,USA,6.951,11.023,0.098,0.92,0.698,19.0,Facebook,Numbness, #Numbness #EmotionalShield               
1900,2018,Canada,7.328,1.33,0.321,1.532,0.291,7.0,Instagram,Envy, #Envy #Desire                                
1951,2018,Germany,6.965,1.34,0.273,1.474,0.28,15.0,Twitter,Betrayal, #Betrayal #ShatteredTrust               
