Year,country,ladder_score,gdp_per_capita,generosity,social_support,corruption
2022,Rwanda*,3.268,,,,
2016,Greece,5.033,1.24886,0,0.75473,0.04127
2019,Azerbaijan,5.208,1.043,0.035,1.147,0.182
2022,Colombia,5.781,,,,
2020,Hong Kong S.A.R. of China,5.510399818,10.9346714,0.134979904,0.845969081,0.420607209
2021,Benin,5.045,8.087,-0.034,0.489,0.661
2016,Iraq,4.575,1.07474,0.19589,0.59205,0.13636
2016,France,6.478,1.39488,0.1216,1.00508,0.17808
2021,Iraq,4.854,9.24,-0.053,0.746,0.875
2017,Madagascar,3.64400005340576,0.305808693170547,0.208732530474663,0.913020372390747,0.0672319754958153
2017,Mauritius,5.62900018692017,1.18939554691315,0.360933750867844,1.20956099033356,0.0421815551817417
2016,Singapore,6.739,1.64555,0.32706,0.86758,0.46987
2017,Burkina Faso,4.03200006484985,0.3502277135849,0.250864684581757,1.04328000545502,0.120328105986118
2023,Denmark,7.586,10.962,0.134,0.954,0.196
2018,Qatar,6.374,1.649,0.256,1.303,0.171
2021,Thailand,5.985,9.805,0.287,0.888,0.895
2017,"Hong Kong S.A.R., China",5.47200012207031,1.55167484283447,0.374465793371201,1.26279091835022,0.293933749198914
2017,Germany,6.95100021362305,1.48792338371277,0.336269170045853,1.47252035140991,0.276731938123703
2020,Panama,6.304800034,10.03423405,-0.153927714,0.902094483,0.851588905
2018,Northern Cyprus,5.835,1.229,0.179,1.211,0.154
2023,Japan,6.129,10.616,-0.237,0.894,0.640
2015,Bangladesh,4.694,0.39753,0.21222,0.43106,0.12569
2019,Lesotho,3.802,0.489,0.107,1.169,0.093
2017,Botswana,3.76600003242493,1.12209415435791,0.0993484482169151,1.22155499458313,0.0985831990838051
2022,Bolivia,5.600,,,,
2019,Australia,7.228,1.372,0.332,1.548,0.290
2020,Germany,7.075799942,10.7328186,0.080179386,0.898874462,0.456422031
2017,Chile,6.65199995040894,1.25278460979462,0.326662421226501,1.28402495384216,0.0822879821062088
2022,France,6.687,,,,
2015,Canada,7.427,1.32629,0.45811,1.32261,0.32957
2019,Panama,6.321,1.149,0.109,1.442,0.054
2017,Angola,3.79500007629395,0.858428180217743,0.097926490008831,1.10441195964813,0.0697203353047371
2019,Gambia,4.516,0.308,0.269,0.939,0.167
2022,Croatia,6.125,,,,
2019,Czech Republic,6.852,1.269,0.046,1.487,0.036
2021,Chad,4.355,7.364,0.041,0.619,0.807
2021,Haiti,3.615,7.477,0.422,0.54,0.721
2023,Togo,4.137,7.673,0.024,0.595,0.740
2020,Mexico,6.465000153,9.797797203,-0.175266623,0.838665426,0.806821585
2020,Gambia,4.750599861,7.321814537,0.343198717,0.6931687,0.690717816
2016,Hong Kong,5.458,1.5107,0.40097,0.87021,0.31647
2018,Hong Kong,5.43,1.405,0.246,1.29,0.291
2017,Taiwan Province of China,6.42199993133545,1.43362653255463,0.258360475301743,1.38456535339355,0.0638292357325554
2020,Guinea,4.949299812,7.750990391,0.076328471,0.637573481,0.761794448
2020,Latvia,5.949999809,10.17531967,-0.186888844,0.918288589,0.795580089
2023,Cyprus,6.130,10.611,-0.060,0.826,0.860
2020,Estonia,6.021800041,10.34001732,-0.111697771,0.934729993,0.623073816
2016,Senegal,4.219,0.44314,0.19103,0.77416,0.11681
2016,South Africa,4.459,1.02416,0.13656,0.96053,0.08415
2019,Chile,6.444,1.159,0.187,1.369,0.056
2017,Estonia,5.61100006103516,1.32087934017181,0.0988908112049103,1.47667109966278,0.183248922228813
2017,Bosnia and Herzegovina,5.18200016021729,0.982409417629242,0.328867495059967,1.0693359375,0
2020,Ethiopia,4.186200142,7.509385586,0.043377332,0.743307352,0.753690004
2015,Mongolia,4.874,0.82819,0.3323,1.3006,0.02666
2017,Uruguay,6.4539999961853,1.21755969524384,0.175096929073334,1.41222786903381,0.178061872720718
2022,Pakistan,4.516,,,,
2018,Costa Rica,7.072,1.01,0.143,1.459,0.101
2016,Vietnam,5.061,0.74037,0.25075,0.79117,0.11556
2018,Dominican Republic,5.302,0.982,0.12,1.441,0.106
2019,South Korea,5.895,1.301,0.175,1.219,0.056
2017,United Kingdom,6.71400022506714,1.44163393974304,0.492774158716202,1.49646008014679,0.265428066253662
2020,South Sudan,2.816600084,7.425359726,0.016518548,0.553707123,0.763417304
2015,Cameroon,4.252,0.4225,0.20618,0.88767,0.05786
2016,Tajikistan,4.996,0.48835,0.25998,0.75602,0.13509
2020,Central African Republic,3.475899935,6.625160217,0.082410358,0.319459856,0.891806662
2022,Ethiopia,4.241,,,,
2022,Georgia,4.973,,,,
2016,Mexico,6.778,1.11508,0.11735,0.7146,0.18355
2016,Bolivia,5.822,0.79422,0.21698,0.83779,0.07746
2019,Pakistan,5.653,0.677,0.220,0.886,0.098
2015,South Korea,5.984,1.24461,0.18557,0.95774,0.07857
2017,Ireland,6.97700023651123,1.53570663928986,0.42785832285881,1.55823111534119,0.29838815331459
2022,Greece,5.948,,,,
2016,Poland,5.835,1.24585,0.14443,1.04685,0.055
2022,New Zealand,7.200,,,,
2023,Ivory Coast,5.053,8.576,0.003,0.572,0.746
2022,Albania,5.199,,,,
2020,Portugal,5.910900116,10.26374245,-0.220714301,0.886590719,0.892629504
2023,Gabon,5.035,9.537,-0.187,0.746,0.786
2017,Indonesia,5.26200008392334,0.995538592338562,0.611704587936401,1.27444469928741,0.0153171354904771
2018,Angola,3.795,0.73,0.079,1.125,0.061
2019,Cyprus,6.046,1.263,0.190,1.223,0.041
2016,Iceland,7.501,1.42666,0.47678,1.18326,0.14975
2017,Honduras,5.18100023269653,0.730573117733002,0.236188873648643,1.14394497871399,0.0733454525470734
2019,Burundi,3.775,0.046,0.176,0.447,0.180
2015,Portugal,5.102,1.15991,0.13719,1.13935,0.01078
2016,Benin,3.484,0.39499,0.2018,0.10419,0.06681
2019,Senegal,4.681,0.450,0.153,1.134,0.072
2018,Brazil,6.419,0.986,0.11,1.474,0.088
2016,South Sudan,3.832,0.39394,0.25899,0.18519,0.13015
2019,Slovenia,6.118,1.258,0.144,1.523,0.057
2021,Russia,5.477,10.189,-0.111,0.903,0.845
2018,Indonesia,5.093,0.899,0.484,1.215,0.018
2019,Congo (Brazzaville),4.812,0.673,0.105,0.799,0.093
2016,Germany,6.994,1.44787,0.30452,1.09774,0.28551
2021,Bahrain,6.647,10.669,0.089,0.862,0.722
2015,Ireland,6.94,1.33596,0.45901,1.36948,0.28703
2018,Burkina Faso,4.424,0.314,0.175,1.097,0.128
2018,Cyprus,5.762,1.229,0.202,1.191,0.035
2022,Guatemala*,6.262,,,,
2023,Guinea,5.072,7.880,0.125,0.649,0.787
2021,Ivory Coast,5.306,8.551,-0.016,0.644,0.794
2023,Jordan,4.120,9.130,-0.150,0.729,0.687
2023,Greece,5.931,10.288,-0.240,0.835,0.793
2020,Swaziland,4.308100224,9.16267395,-0.19920142,0.770290196,0.708263338
2016,Ivory Coast,3.916,0.55507,0.20338,0.57576,0.1553
2017,Costa Rica,7.0789999961853,1.10970628261566,0.214613229036331,1.41640365123749,0.100106589496136
2022,Chile,6.172,,,,
2019,Moldova,5.529,0.685,0.181,1.328,0.000
2016,Sierra Leone,4.635,0.36485,0.23897,0.628,0.08196
2018,Peru,5.663,0.934,0.092,1.249,0.034
2019,Hungary,5.758,1.201,0.081,1.410,0.020
2021,Uganda,4.636,7.677,0.122,0.781,0.855
2022,Latvia,6.180,,,,
2018,Venezuela,4.806,0.996,0.056,1.469,0.052
2019,United States,6.892,1.433,0.280,1.457,0.128
2022,Zambia,3.760,,,,
2022,Bahrain,6.647,,,,
2017,Australia,7.28399991989136,1.484414935112,0.477699249982834,1.51004195213318,0.301183730363846
2021,Hong Kong S.A.R. of China,5.477,11,0.067,0.836,0.403
2018,Mauritius,5.891,1.09,0.245,1.387,0.05
2022,Netherlands,7.415,,,,
2018,Ivory Coast,4.671,0.541,0.146,0.872,0.103
2020,Chad,4.422699928,7.467963696,0.017834719,0.632388055,0.802760839
2020,Bahrain,6.227300167,10.67638016,0.13372919,0.876342118,0.7393471
2022,Togo,4.112,,,,
2019,Ivory Coast,4.944,0.569,0.154,0.808,0.090
2016,Namibia,4.574,0.93287,0.07795,0.70362,0.10398
2018,Pakistan,5.472,0.652,0.216,0.81,0.113
2020,Pakistan,5.69329977,8.482727051,0.04489987,0.689062297,0.745705426
2020,Honduras,5.953199863,8.424534798,0.086969115,0.821870148,0.801131904
2016,China,5.245,1.0278,0.04959,0.79381,0.02745
2019,Kazakhstan,5.809,1.173,0.146,1.508,0.096
2016,Guatemala,6.324,0.83454,0.28808,0.87119,0.08701
2019,Venezuela,4.707,0.960,0.064,1.427,0.047
2022,Austria,7.163,,,,
2020,Congo (Kinshasa),4.31099987,6.694256306,0.083637655,0.672159016,0.809403598
2022,Vietnam,5.485,,,,
2018,Paraguay,5.681,0.835,0.162,1.522,0.074
2018,Austria,7.139,1.341,0.242,1.504,0.224
2022,Germany,7.034,,,,
2015,Bulgaria,4.218,1.01216,0.11921,1.10614,0.00872
2022,United Kingdom,6.943,,,,
2019,Belgium,6.923,1.356,0.160,1.504,0.210
2019,Northern Cyprus,5.718,1.263,0.191,1.252,0.162
2016,Luxembourg,6.871,1.69752,0.27571,1.03999,0.35329
2020,Haiti,3.720799923,7.411329269,0.40053457,0.593247831,0.684767246
2016,Paraguay,5.538,0.89373,0.25296,1.11111,0.07396
2019,Iceland,7.494,1.380,0.354,1.624,0.118
2015,Armenia,4.35,0.76821,0.07855,0.77711,0.039
2020,Vietnam,5.353499889,8.809545517,-0.094533332,0.849987149,0.79642123
2020,Liberia,4.557899952,7.054380417,0.04227322,0.70928055,0.856375933
2023,United States,6.894,11.048,0.137,0.919,0.689
2016,Argentina,6.65,1.15137,0.10989,1.06612,0.07296
2021,Kosovo,6.372,9.318,0.257,0.821,0.917
2016,United States,7.104,1.50796,0.41077,1.04782,0.14868
2020,Uruguay,6.440100193,9.948192596,-0.101103112,0.92281127,0.635994136
2016,Philippines,5.279,0.81217,0.21674,0.87877,0.11757
2017,South Korea,5.83799982070923,1.40167844295502,0.206674367189407,1.12827444076538,0.0632826685905457
2018,Norway,7.594,1.456,0.286,1.582,0.34
2022,Cyprus,6.221,,,,
2017,Guinea,3.50699996948242,0.244549930095673,0.264815092086792,0.791244685649872,0.110937617719173
2016,Botswana,3.974,1.09426,0.12425,0.89186,0.10769
2016,Armenia,4.36,0.86086,0.07793,0.62477,0.03616
2017,Dominican Republic,5.23000001907349,1.07937383651733,0.186967849731445,1.40241670608521,0.113945253193378
2023,Iraq,4.941,9.098,-0.005,0.718,0.876
2017,France,6.44199991226196,1.43092346191406,0.129762306809425,1.38777685165405,0.172502428293228
2022,Iran,4.888,,,,
2020,Kuwait,6.102099895,11.08982468,-0.100184701,0.846475244,0.760849059
2015,Bahrain,5.96,1.32376,0.17362,1.21624,0.306
2017,Slovakia,6.09800004959106,1.32539355754852,0.136544480919838,1.50505924224854,0.0242108516395092
2015,El Salvador,6.13,0.76454,0.10692,1.02507,0.11776
2015,Iceland,7.561,1.30232,0.4363,1.40223,0.14145
2016,Lebanon,5.129,1.12268,0.23693,0.64184,0.03061
2022,United States,6.977,,,,
2015,Jamaica,5.709,0.81038,0.2123,1.15102,0.02299
2016,Denmark,7.526,1.44178,0.36171,1.16374,0.44453
2017,Mauritania,4.29199981689453,0.648457288742065,0.201870024204254,1.2720308303833,0.136957004666328
2023,South Korea,5.951,10.693,-0.046,0.812,0.701
2016,Georgia,4.252,0.83792,0.06786,0.19249,0.3188
2016,Uzbekistan,5.987,0.73591,0.34326,1.1681,0.28333
2017,Ukraine,4.09600019454956,0.89465194940567,0.270061463117599,1.39453756809235,0.0230294708162546
2019,Germany,6.985,1.373,0.261,1.454,0.265
2017,Egypt,4.7350001335144,0.989701807498932,0.128631442785263,0.997471392154694,0.114381365478039
2022,Mali,4.479,,,,
2017,Colombia,6.35699987411499,1.07062232494354,0.149014472961426,1.4021829366684,0.0466687418520451
2023,Zimbabwe,3.204,7.641,-0.046,0.690,0.766
2018,Luxembourg,6.91,1.576,0.196,1.52,0.321
2019,United Kingdom,7.054,1.333,0.348,1.538,0.278
2016,Azerbaijan,5.291,1.12373,0.0564,0.76042,0.17914
2015,Sierra Leone,4.507,0.33024,0.21488,0.95571,0.08786
2023,Serbia,6.144,9.854,0.204,0.873,0.816
2017,Serbia,5.39499998092651,1.06931757926941,0.220125883817673,1.25818979740143,0.0409037806093693
2020,Switzerland,7.559899807,10.97993279,0.105911039,0.942846596,0.303728431
2020,Sierra Leone,3.926399946,7.26880312,0.088660747,0.636142015,0.861330688
2023,Myanmar,4.372,8.404,0.491,0.787,0.658
2018,Bangladesh,4.5,0.532,0.153,0.85,0.144
2018,Portugal,5.41,1.188,0.055,1.429,0.017
2016,Bulgaria,4.217,1.11306,0.12793,0.92542,0.00615
2021,Hungary,5.992,10.358,-0.186,0.943,0.876
2015,Nepal,4.514,0.35997,0.32296,0.86449,0.05907
2016,Kyrgyzstan,5.185,0.56044,0.38432,0.95434,0.04762
2019,Ecuador,6.028,0.912,0.126,1.312,0.087
2023,Morocco,4.903,8.973,-0.231,0.553,0.811
2016,El Salvador,6.068,0.8737,0.08877,0.80975,0.10613
2020,New Zealand,7.299600124,10.50094318,0.191598073,0.949118972,0.22113885
2017,Nepal,4.96199989318848,0.479820191860199,0.394096165895462,1.17928326129913,0.0729755461215973
2021,Yemen,3.658,7.578,-0.147,0.832,0.8
2015,Jordan,5.192,0.90198,0.11053,1.05392,0.14293
2020,Paraguay,5.692100048,9.389982224,0.007997713,0.898727894,0.834788501
2017,Uzbekistan,5.97100019454956,0.786441087722778,0.415983647108078,1.54896914958954,0.246528223156929
2022,Egypt,4.288,,,,
2020,Namibia,4.571100235,9.203141212,-0.18530646,0.846880972,0.851449788
2021,Cyprus,6.223,10.576,-0.015,0.802,0.844
2023,Congo (Kinshasa),3.207,7.007,0.086,0.652,0.834
2016,Rwanda,3.515,0.32846,0.23552,0.61586,0.50521
2017,Portugal,5.19500017166138,1.3151752948761,0.0951027125120163,1.36704301834106,0.0158694516867399
2020,Libya,5.488800049,9.789815903,-0.085054487,0.825942934,0.668779135
2023,Nigeria,4.981,8.496,0.073,0.740,0.911
2020,Tanzania,3.476200104,7.967665195,0.109668687,0.688933194,0.619799435
2023,Kyrgyzstan,5.825,8.486,0.181,0.911,0.904
2015,Lithuania,5.833,1.14723,0.02641,1.25745,0.01031
2019,Argentina,6.086,1.092,0.066,1.432,0.050
2018,Romania,5.945,1.116,0.088,1.219,0.001
2018,Panama,6.43,1.112,0.125,1.438,0.063
2020,Georgia,4.672599792,9.226100922,-0.22892037,0.629033029,0.665944695
2021,Botswana,3.467,9.782,-0.246,0.784,0.801
2020,Togo,4.187200069,7.357711315,0.002667875,0.551312625,0.757733464
2016,Romania,5.528,1.1697,0.12889,0.72803,0.00679
2018,Ireland,6.977,1.448,0.307,1.583,0.306
2023,Romania,6.589,10.339,-0.172,0.848,0.929
2018,Uruguay,6.379,1.093,0.13,1.459,0.155
2019,Bhutan,5.082,0.813,0.370,1.321,0.167
2015,Germany,6.75,1.32792,0.28214,1.29937,0.21843
2016,Guinea,3.607,0.22415,0.29914,0.3109,0.1192
2020,Lebanon,4.771500111,9.3617239,-0.06121527,0.824338138,0.90225625
2022,Tunisia,4.516,,,,
2015,Paraguay,5.878,0.75985,0.3424,1.30477,0.08242
2017,Brazil,6.63500022888184,1.10735321044922,0.16234989464283,1.43130600452423,0.111092761158943
2018,Congo (Kinshasa),4.245,0.069,0.197,1.136,0.052
2021,Philippines,5.88,9.076,-0.097,0.83,0.742
2021,Rwanda,3.415,7.676,0.061,0.552,0.167
2019,Greece,5.287,1.181,0.000,1.156,0.034
2020,Uganda,4.43200016,7.500389576,0.099487431,0.764994621,0.836737812
2015,Botswana,4.332,0.99355,0.10461,1.10464,0.12474
2019,Singapore,6.262,1.572,0.271,1.463,0.453
2016,Gabon,4.121,1.15851,0.06244,0.72368,0.09314
2015,Rwanda,3.465,0.22208,0.22628,0.7737,0.55191
2023,Croatia,6.125,10.341,-0.093,0.917,0.925
2017,Iran,4.69199991226196,1.15687310695648,0.387242913246155,0.711551249027252,0.048761073499918
2021,Guinea,4.984,7.838,0.095,0.639,0.766
2015,Israel,7.278,1.22857,0.33172,1.22393,0.07785
2018,Chile,6.476,1.131,0.197,1.331,0.061
2021,Belgium,6.834,10.823,-0.153,0.906,0.646
2019,Dominican Republic,5.425,1.015,0.113,1.401,0.101
2020,Austria,7.294199944,10.7428236,0.085429221,0.928045869,0.499954879
2020,Norway,7.487999916,11.08780384,0.13453263,0.952486575,0.263218194
2023,Mauritius,5.902,9.957,-0.028,0.888,0.775
2016,Macedonia,5.121,1.0193,0.23507,0.78236,0.07047
2022,Czechia,6.920,,,,
2017,Cambodia,4.16800022125244,0.601765096187592,0.385922968387604,1.00623834133148,0.0681059509515762
2015,United Kingdom,6.867,1.26637,0.51912,1.28548,0.32067
2022,Senegal,5.046,,,,
2019,North Macedonia,5.274,0.983,0.185,1.294,0.034
2018,Denmark,7.555,1.351,0.284,1.59,0.408
2015,Netherlands,7.378,1.32944,0.4761,1.28017,0.31814
2019,Jamaica,5.890,0.831,0.107,1.478,0.028
2021,Poland,6.166,10.382,-0.165,0.898,0.735
2018,Malaysia,6.322,1.161,0.311,1.258,0.059
2017,Moldova,5.83799982070923,0.728870630264282,0.208779126405716,1.25182557106018,0.0100912861526012
2018,Mauritania,4.356,0.557,0.134,1.245,0.093
2021,Togo,4.107,7.362,0.032,0.569,0.772
2022,Uganda,4.603,,,,
2021,Estonia,6.189,10.481,-0.106,0.941,0.527
2023,State of Palestine,4.908,8.716,-0.132,0.859,0.836
2015,Austria,7.2,1.33723,0.33088,1.29704,0.18676
2020,Peru,5.796800137,9.456313133,-0.16238822,0.831075251,0.893714964
2023,Mexico,6.330,9.850,-0.094,0.804,0.768
2023,Bolivia,5.684,8.985,-0.063,0.811,0.846
2018,Australia,7.272,1.34,0.361,1.573,0.302
2019,Qatar,6.374,1.684,0.220,1.313,0.167
2023,Malaysia,6.012,10.169,0.160,0.799,0.758
2015,Croatia,5.759,1.08254,0.05444,0.79624,0.0243
2016,Estonia,5.517,1.27964,0.08423,1.05163,0.18519
2017,Iceland,7.50400018692017,1.480633020401,0.475540220737457,1.6105740070343,0.153526559472084
2015,Switzerland,7.587,1.39651,0.29678,1.34951,0.41978
2020,Denmark,7.645599842,10.77400112,0.066201776,0.955990791,0.168489456
2019,Bolivia,5.779,0.776,0.137,1.209,0.064
2019,Benin,4.883,0.393,0.175,0.437,0.082
2019,Austria,7.246,1.376,0.244,1.475,0.226
2015,Denmark,7.527,1.32548,0.34139,1.36058,0.48357
2020,Israel,7.128600121,10.41752529,0.10259372,0.913571239,0.78085506
2015,India,4.565,0.64499,0.26475,0.38174,0.08492
2018,Ecuador,5.973,0.889,0.114,1.33,0.12
2016,Tanzania,3.666,0.47155,0.31472,0.77623,0.05099
2021,Colombia,6.012,9.557,-0.135,0.847,0.841
2021,Malta,6.602,10.674,0.133,0.931,0.653
2016,Somalia,5.44,0,0.27225,0.33613,0.3118
2020,Cambodia,4.848400116,8.249890327,0.051911179,0.773080647,0.822769046
2017,Kenya,4.55299997329712,0.560479462146759,0.444860309362411,1.06795072555542,0.0646413192152977
2016,Congo (Kinshasa),4.272,0.05661,0.25458,0.80676,0.06075
2016,Comoros,3.956,0.27509,0.1827,0.60323,0.18437
2017,Thailand,6.42399978637695,1.12786877155304,0.572123110294342,1.42579245567322,0.0316127352416515
2015,Tajikistan,4.786,0.39047,0.22974,0.85563,0.15072
2015,United States,7.119,1.39451,0.40105,1.24711,0.1589
2018,Jordan,5.161,0.822,0.13,1.265,0.134
2019,Georgia,4.519,0.886,0.043,0.666,0.164
2017,North Cyprus,5.80999994277954,1.3469113111496,0.266845703125,1.18630337715149,0.155353352427483
2019,Cameroon,5.044,0.549,0.187,0.910,0.037
2020,Venezuela,5.053199768,8.977793694,-0.169090509,0.890408158,0.837038398
2017,Gabon,4.46500015258789,1.1982102394104,0.0437853783369064,1.1556202173233,0.0760467872023582
2021,Congo (Brazzaville),5.342,8.117,-0.068,0.636,0.745
2016,Burundi,2.905,0.06831,0.2029,0.23442,0.09419
2022,Turkmenistan*,5.474,,,,
2017,Lithuania,5.90199995040894,1.31458234786987,0.010164656676352,1.47351610660553,0.0118656428530812
2017,Philippines,5.42999982833862,0.85769921541214,0.193513423204422,1.25391757488251,0.0993318930268288
2022,Montenegro,5.547,,,,
2017,Jamaica,5.31099987030029,0.925579309463501,0.233818337321281,1.36821806430817,0.0552677810192108
2020,South Korea,5.872399807,10.51056671,-0.043404032,0.799387157,0.789067447
2020,Belgium,6.863500118,10.6736393,-0.078691199,0.911632538,0.612297952
2021,Sierra Leone,3.849,7.434,0.084,0.63,0.866
2015,Cyprus,5.689,1.20813,0.30638,0.89318,0.06146
2015,Spain,6.329,1.23011,0.18227,1.31379,0.06398
2015,Niger,3.845,0.0694,0.19387,0.77265,0.15639
2018,Madagascar,3.774,0.262,0.155,0.908,0.049
2020,Morocco,5.094799995,8.940313339,-0.240377247,0.592628479,0.815724611
2015,Ethiopia,4.512,0.19073,0.24325,0.60406,0.15048
2020,Myanmar,4.308000088,8.680481911,0.560663998,0.78440702,0.645124316
2020,Montenegro,5.54610014,9.751860619,-0.075600356,0.855314612,0.783121586
2021,Pakistan,4.934,8.458,0.098,0.651,0.787
2023,Hungary,6.041,10.419,-0.059,0.943,0.839
2018,France,6.489,1.293,0.098,1.466,0.176
2021,Jamaica,6.309,9.186,-0.137,0.877,0.884
2015,Vietnam,5.36,0.63216,0.1686,0.91226,0.10441
2016,Chad,3.763,0.42214,0.18667,0.63178,0.04952
2018,Moldova,5.64,0.657,0.171,1.301,0
2020,Croatia,5.504700184,10.07087517,-0.128538325,0.874623716,0.916495264
2015,Gabon,3.896,1.06024,0.06822,0.90528,0.11091
2015,Burkina Faso,3.587,0.25812,0.21747,0.85188,0.12832
2016,New Zealand,7.334,1.36066,0.49401,1.17278,0.41904
2020,Azerbaijan,5.164800167,9.687726974,-0.240255281,0.819308281,0.55253756
2018,Malta,6.627,1.27,0.376,1.525,0.142
2021,Bosnia and Herzegovina,5.813,9.59,0.113,0.87,0.931
2019,Peru,5.697,0.960,0.083,1.274,0.027
2021,Tunisia,4.596,9.266,-0.201,0.691,0.87
2019,Vietnam,5.175,0.741,0.147,1.346,0.073
2021,Uzbekistan,6.179,8.836,0.311,0.918,0.515
2020,Malawi,3.538000107,7.062226295,0.021433279,0.544007301,0.731700778
2020,Albania,4.882699966,9.417930603,-0.042309489,0.671070457,0.896303713
2017,Morocco,5.2350001335144,0.878114581108093,0.0322099551558495,0.774864435195923,0.0877631828188896
2015,Cambodia,3.819,0.46038,0.40359,0.62736,0.07247
2019,Libya,5.525,1.044,0.133,1.303,0.152
2022,South Korea,5.935,,,,
2016,Netherlands,7.339,1.46468,0.47416,1.02912,0.29927
2018,Tunisia,4.592,0.9,0.04,0.906,0.063
2021,Comoros,4.289,8.031,0.082,0.626,0.781
2023,Georgia,5.109,9.646,-0.254,0.716,0.649
2021,Norway,7.392,11.053,0.093,0.954,0.27
2015,Colombia,6.477,0.91861,0.18401,1.24018,0.0512
2020,Ecuador,5.925199986,9.246058464,-0.127014965,0.836418986,0.801215112
2021,Kyrgyzstan,5.744,8.538,0.119,0.893,0.908
2022,Philippines,5.904,,,,
2018,Czech Republic,6.711,1.233,0.064,1.489,0.034
2015,Congo (Brazzaville),3.989,0.67866,0.12388,0.6629,0.11686
2017,Finland,7.4689998626709,1.44357192516327,0.24548277258873,1.5402467250824,0.38261154294014
2016,Nepal,4.793,0.44626,0.3816,0.69699,0.07008
2018,Jamaica,5.89,0.819,0.096,1.493,0.031
2023,Madagascar,4.019,7.290,0.075,0.650,0.742
2019,Mongolia,5.285,0.948,0.235,1.531,0.038
2018,Belize,5.956,0.807,0.183,1.101,0.089
2020,Nigeria,4.724100113,8.57662487,0.033745807,0.73721689,0.861874342
2023,Laos,5.111,8.962,0.091,0.679,0.703
2020,North Cyprus,5.53550005,10.40570259,0.000227159,0.820356607,0.62611568
2019,Rwanda,3.334,0.359,0.217,0.711,0.411
2016,India,4.404,0.74036,0.25028,0.29247,0.08722
2023,Cameroon,4.973,8.217,0.015,0.686,0.846
2018,Singapore,6.343,1.529,0.261,1.451,0.457
2017,Congo (Brazzaville),4.29099988937378,0.808964252471924,0.120852127671242,0.832044363021851,0.0796181336045265
2021,Afghanistan,2.523,7.695,-0.102,0.463,0.924
2021,Armenia,5.283,9.487,-0.168,0.799,0.629
2021,United Kingdom,7.064,10.707,0.233,0.934,0.459
2018,Ethiopia,4.35,0.308,0.22,0.95,0.146
2016,Togo,3.303,0.28123,0.17517,0,0.11587
2016,Cambodia,3.907,0.55604,0.40339,0.5375,0.08092
2018,Japan,5.915,1.294,0.079,1.462,0.15
2019,Costa Rica,7.167,1.034,0.144,1.441,0.093
2016,Belize,5.956,0.87616,0.23684,0.68655,0.10771
2017,Rwanda,3.47099995613098,0.368745893239975,0.252756029367447,0.945707023143768,0.455220013856888
2018,Ukraine,4.103,0.793,0.187,1.413,0.011
2020,India,3.573299885,8.849823952,0.057551607,0.592200935,0.772042692
2016,Mali,4.073,0.31292,0.21064,0.86333,0.13647
2021,Indonesia,5.345,9.365,0.542,0.811,0.867
2019,Sweden,7.343,1.387,0.267,1.487,0.373
